standard	term	bucket	confidence	note
配偶	良人	literary-f	high	古語
配偶	老公仔	yue-f	low	待查
配偶	爱人	colloquial	high	中性,大陸通用
配偶	老伴	colloquial	high	中性,老年
配偶	那口子	north	high	中性,北方
配偶	伴侣	exclude	med	泛稱,非親屬稱謂
配偶	卿卿	literary	med	古語愛稱
配偶	老婆	colloquial-m	high	男方稱妻;通用口語
配偶	妻子	standard-m	high	男方稱妻;標準
配偶	媳妇	north-m	high	北方稱妻(與「兒媳」同形,須防混淆)
配偶	媳妇儿	north-m	high	同上
配偶	媳妇子	northwest-m	med	
配偶	太太	colloquial-m	high	
配偶	妻	literary-m	high	
配偶	女人	exclude	high	泛稱
配偶	新娘	exclude	high	限婚禮場合
配偶	爱姥	exclude	low	待查
配偶	妻亲	exclude	high	結構標籤
配偶	娘子	literary-m	high	古語
配偶	新娘子	exclude	high	限婚禮
配偶	夫人	literary-m	high	敬稱
配偶	婆娘	southwest-m	high	西南官話
配偶	老太婆	colloquial-m	med	老年
配偶	内人	literary-m	high	對外謙稱
配偶	内子	literary-m	high	
配偶	内助	literary-m	high	
配偶	贤内助	literary-m	high	
配偶	爱妻	literary-m	med	
配偶	髮妻	literary-m	high	結髮之妻;此處 发 = 髮 非 發,故以繁體形入錄
配偶	婆姨	northwest-m	high	陝北
配偶	婆子	colloquial-m	low	語感粗
配偶	老婆子	colloquial-m	med	老年
配偶	老婆儿	north-m	med	
配偶	老婆仔	yue-m	low	待查
配偶	堂客	southwest-xiang-m	high	湘/西南官話稱妻
祖父	祖公	min-yue	med	
祖父	阿爷	wu-min	high	
祖父	奶爹	north	low	待查
祖父	亚爷	yue	med	「亞」即「阿」的粵寫
祖父	亚公	yue	med	
祖父	依爷	min	high	閩東
祖父	大父	literary	high	古語
祖父	祖翁	literary	med	
祖父	嗲嗲	xiang-southwest	high	湘/川
祖父	爷	colloquial	high	
祖父	祖君	literary	low	待查
祖父	奶爷	north	low	待查
祖父	爷儿	north	low	多為「爺兒倆」語素,待查
祖父	爷老	xiang	low	待查
祖父	爷老子	xiang	low	待查
祖父	爷老倌	xiang	low	待查
祖父	二世祖	exclude	high	族譜術語(且粵語另有貶義)
祖母	祖婆	min-yue	med	
祖母	阿奶	wu	high	
祖母	阿婆	yue-wu	high	亦可指外祖母/老婦,須防歧義
祖母	奶娘	exclude	high	舊指乳母,歧義
祖母	亚嬷	yue	med	
祖母	亚婆	yue	med	
祖母	依奶	min	high	
祖母	大母	literary	high	古語
祖母	祖嫲	yue-hakka	med	
祖母	嫲嫲	yue	high	粵
祖母	奶	colloquial	high	
祖母	重慈	literary	low	待查
祖母	婻婻	minority-dialect	low	寫法/歸屬存疑,待查
祖母	娭毑	xiang	high	湘(長沙)
祖母	嗯奶	xiang	low	待查
祖母	娘姆	wu-min	low	待查
祖母	媪婆	literary	low	待查
祖母	亲婆	wu	med	吳(部分指外祖母),須防歧義
外祖父	外爷	northwest	high	陝甘
外祖父	客公	hakka	low	待查
外祖父	毑父	xiang	high	湘
外祖父	毑公	xiang	high	
外祖父	姥公	north	med	
外祖父	舅家爷	north	med	
外祖父	嘎公	southwest	high	川渝
外祖父	嘎爹	southwest	high	
外祖父	嘎嘎爹	southwest	med	
外祖父	嘎爷爷	southwest	med	
外祖父	尕公	northwest	high	西北「尕」
外祖父	毑爹	xiang	med	
外祖父	毑爷	xiang	med	
外祖父	外大父	literary	high	古語
外祖父	姥爹	north	med	
外祖父	魏公	exclude	low	疑為姓氏誤入,待查
外祖父	魏爷	exclude	low	同上
外祖父	简爷	exclude	low	同上
外祖母	阿婆	yue-wu	high	與「奶奶」同形,須靠 ego 側區分
外祖母	外奶	north	high	
外祖母	客婆	hakka	low	待查
外祖母	毑母	xiang	high	
外祖母	毑婆	xiang	high	
外祖母	姥婆	north	med	
外祖母	舅家婆	north	med	
外祖母	嘎嘎	southwest	high	川渝
外祖母	嘎婆	southwest	high	
外祖母	嘎嘎婆	southwest	med	
外祖母	嘎奶奶	southwest	med	
外祖母	尕婆	northwest	high	
外祖母	毑娘	xiang	med	
外祖母	毑毑	xiang	med	
外祖母	外大母	literary	high	古語
外祖母	姥娘	north	high	魯豫
外祖母	魏婆	exclude	low	疑姓氏誤入
外祖母	魏奶	exclude	low	同上
外祖母	简婆	exclude	low	同上
外祖母	外嬷	min-yue	high	
外祖母	嫲嫲	yue	med	與「奶奶」同形,須防混
外祖母	好婆	wu	high	吳(蘇滬)
外祖母	嫏嫏	north	low	待查
外祖母	嫏娘	north	low	待查
外祖母	姥	north	high	
伯父	伯爸	southwest	med	
伯父	阿伯	yue-min	high	
伯父	伯爷	yue	med	
伯父	依伯	min	high	
伯父	伯儿	north	low	待查
伯父	大伯	colloquial	high	通行
伯父	大爹	southwest-xiang	high	
伯父	大爸	southwest	high	
伯父	大爸爸	southwest	med	
伯父	世父	literary	high	古語(《爾雅》系)
伯父	大爷	north	high	北方
伯父	大大	north-northwest	high	
伯父	几伯	exclude	high	排行模板
伯父	伯	colloquial	high	
叔父	叔爸	southwest	med	
叔父	阿叔	yue-min	high	
叔父	叔爹	wu	med	
叔父	依叔	min	high	
叔父	叔儿	north	low	待查
叔父	小叔	colloquial	high	亦可指夫弟,須防歧義
叔父	小爹	southwest-wu	med	
叔父	小爸	southwest	high	
叔父	小爸爸	southwest	med	
叔父	仲父	literary	high	古語(次於伯)
叔父	季父	literary	high	古語(最幼)
叔父	叔仔	min	med	
叔父	几叔	exclude	high	排行模板
叔父	叔	colloquial	high	
姑母	大姑	colloquial	high	
姑母	姑姊	literary	med	
姑母	姑嬷	yue-min	med	
姑母	恩妈	hakka	low	客?待查
姑母	几姑	exclude	high	排行模板
姑母	姑	colloquial	high	
姑母	嬢嬢	southwest	high	川渝
姑母	娘娘	southwest-wu	med	與神祇稱謂同形,須防歧義
姑母	小姑	colloquial	high	亦可指夫妹,須防歧義
姑母	姑姐	yue	med	
姑母	姑妹	yue	med	
姑母	姑仔	min	med	
姑母	尕娘	northwest	high	
姑母	幺姑姐	southwest	med	
姑母	老姑	north	med	
舅父	大舅	colloquial	high	
舅父	大舅舅	colloquial	med	
舅父	舅伯	north	low	待查
舅父	元舅	literary	med	古語(長舅)
舅父	舅爸	southwest	med	
舅父	舅爹	southwest-xiang	med	
舅父	娘舅	wu	high	吳
舅父	母舅	min-hakka	high	
舅父	阿舅	yue-min	high	
舅父	妗公	min	low	多指舅母之夫方,待查
舅父	舅台	literary	med	敬稱
舅父	几舅	exclude	high	排行模板
舅父	舅	colloquial	high	
舅父	小舅	colloquial	high	亦可指妻弟,須防歧義
舅父	小舅舅	colloquial	med	
舅父	舅仔	min	med	閩台亦指妻弟,須防歧義
舅父	舅父仔	min	low	待查
舅父	尕阿舅	northwest	med	
舅父	老舅	north	med	
姨母	大姨	colloquial	high	亦為經期婉語,須防歧義
姨母	姨嬷	yue-min	med	
姨母	姨姨	colloquial	high	
姨母	姨娘	wu	med	舊亦指妾,須防歧義
姨母	从母	literary	high	古語(《爾雅》)
姨母	几姨	exclude	high	排行模板
姨母	姨	colloquial	high	
姨母	嬢嬢	southwest	high	與姑媽同形,須靠側別區分
姨母	小姨	colloquial	high	亦可指妻妹,須防歧義
姨母	姨仔	min	med	
姨母	老姨	north	med	
姪子	兄子	literary	high	古語(男子稱兄之子)
姪子	侄男	literary	med	
姪子	侄儿子	colloquial	low	疊贅,建議排除
姪子	侄小子	north	med	
姪子	嫡侄	literary	high	
姪子	亲侄	colloquial	high	
姪子	侄儿	colloquial	high	
姪子	侄仔	yue-min	high	
姪子	阿侄	yue	high	
姪子	老侄	north	med	
姪子	侄	colloquial	high	
姪女	兄女	literary	high	古語
姪女	侄囡	wu	high	
姪女	侄女儿	colloquial	med	
姪女	侄丫头	north	med	
姪女	侄闺女	north	med	
外甥	甥子	literary	med	
外甥	甥男	literary	med	
外甥	甥儿	colloquial	med	
外甥	甥儿子	exclude	med	疊贅
外甥	甥仔	yue-min	med	
外甥	甥	literary	high	
外甥女	甥女	literary	high	
外甥女	甥囡	wu	med	
外甥女	甥女儿	colloquial	med	
外甥女	甥闺女	north	med	
孫子	孙男	literary	med	
孫子	孙男儿	literary	low	待查
孫子	孙儿	colloquial	high	
孫子	嗣孙	literary	high	
孫子	孙仔	yue-min	high	
孫子	孙囝	min	high	
孫子	孙娃子	northwest-southwest	high	
孫子	孙伢子	xiang	high	
孫子	二世孙	exclude	high	族譜術語
孫女	孙女儿	colloquial	high	
孫女	孙囡	wu	high	
孫女	孙囡儿	wu	med	
孫女	女孙	literary	high	古語
孫女	孙女子	north	low	待查
外孫子	外孙儿	colloquial	high	
外孫女	外孙囡	wu	high	
外孫女	外孙女儿	colloquial	high	
兒媳	儿媳妇	colloquial	high	
兒媳	息妇儿	north	low	待查
兒媳	儿媳妇儿	north	med	兒化
兒媳	新妇	min-wu	high	古語存留於閩吳
兒媳	新妇囝	min	high	
兒媳	心抱	yue	high	粵(新婦音轉)
兒媳	息妇	literary	med	
兒媳	儿妇	literary	high	
兒媳	子妇	literary	high	
兒媳	小妇	exclude	med	易與「妾」混,歧義
兒媳	少奶奶	exclude	high	舊時僕從稱謂
兒媳	少夫人	exclude	high	同上
女婿	姑爷	north	high	北方
女婿	姑爷儿	north	med	
女婿	女婿子	southwest	med	
女婿	女婿儿	north	med	
女婿	儿婿	literary	med	
女婿	子婿	literary	high	
女婿	息婿	literary	med	
女婿	小婿	literary	high	自稱謙詞
女婿	快婿	literary	high	「乘龍快婿」
女婿	郎婿	literary	med	
女婿	郎婿子	literary	low	待查
女婿	息婿儿	literary	low	待查
女婿	囝婿	min	high	
女婿	囡婿	wu	high	
女婿	东床	literary	high	典故(王羲之)
女婿	半子	literary	high	典故
女婿	甥馆	literary	high	典故(《孟子》)
女婿	女夫	literary	med	
岳父	公父	literary	low	待查
岳父	家公	yue-hakka	high	亦指外祖父,須防歧義
岳父	家爷	south	low	待查
岳父	大官	min	high	閩(舊)
岳父	老公公	north	med	實多指夫父,須防歧義
岳父	老人公	min	med	
岳父	大人公	min	med	
岳父	公公爸	southwest	low	待查
岳父	公爹	north	high	實指夫父,須防歧義
岳父	翁亲	exclude	high	結構標籤
岳父	君舅	literary	high	古語(婦稱夫父)
岳父	老公爹	north	low	待查
岳父	家官	min	med	
岳父	老官	min	low	待查
岳父	婆父	south	low	待查
岳父	婆爹	southwest	low	待查
岳父	外父	yue	high	粵稱妻父
岳父	泰山	literary	high	典故
岳父	外舅	literary	high	古語(《爾雅》稱妻父)
岳父	老亲爷	north	med	
岳父	丈人爹	north	med	
岳父	老干爷	north	low	待查
岳父	丈人公	wu-min	med	
岳父	丈母爷	north	low	待查
岳父	丈爷	north	low	待查
岳父	丈爷爹	north	low	待查
岳父	丈父	literary	med	
岳父	岳老子	southwest	med	
岳父	老丈杆子	north	med	東北
岳父	岳丈	literary	high	
岳父	岳翁	literary	high	
岳父	妻公	literary	med	
岳父	妇翁	literary	high	古語
岳父	冰翁	literary	high	典故(冰人)
岳母	婆母	north	high	實指夫母,須防歧義
岳母	家婆	yue-hakka	high	
岳母	家娘	yue-min	high	
岳母	大家	literary	high	古語(讀 gū,婦稱夫母)
岳母	老婆婆	north	med	
岳母	老人婆	min	med	
岳母	大人婆	min	med	
岳母	婆婆妈	southwest	low	另有「囉嗦」義,歧義
岳母	婆妈	southwest	low	同上
岳母	姑亲	exclude	high	結構標籤
岳母	君姑	literary	high	古語(婦稱夫母)
岳母	婆母娘	southwest	med	
岳母	婆子妈	southwest	low	待查
岳母	阿姑	min	high	閩(婦稱夫母)
岳母	丈母	colloquial	high	
岳母	老丈母	north	med	
岳母	外母	yue	high	粵稱妻母
岳母	泰水	literary	high	與「泰山」對
岳母	外姑	literary	high	古語(《爾雅》稱妻母)
岳母	老亲娘	north	med	
岳母	丈人娘	wu	high	吳
岳母	老干娘	north	low	待查
岳母	丈人婆	wu	med	
岳母	丈姥	north	low	待查
岳母	丈姥娘	north	low	待查
岳母	丈姆	wu	med	
岳母	岳母娘	southwest	high	
岳母	丈母婆	southwest	med	
岳母	丈姆婆	wu	med	
岳母	丈姆娘	wu	high	吳
堂兄	堂哥	colloquial	high	
堂兄	堂老兄	north	low	待查
堂兄	堂老弟	exclude	high	指堂弟,與本鍵(堂兄)不符——鍵錯位
舅嫂	大妗子	north	high	妻兄之妻,北方妗系
舅嫂	大妗儿	north	high	同上,兒化
舅嫂	妻妗	literary	med	書面
舅母	舅嬷	min-south	med	閩南
舅母	舅娘	southwest-xiang	high	川渝湘
舅母	舅妻	literary	med	書面
舅母	舅姆	min-yue	high	閩粵
舅母	舅姆妈	wu	med	吳語
舅母	舅妇	literary	med	書面
舅母	舅毑	xiang	med	湘語毑系
舅母	老妗	north	med	北方
舅母	妗子	north	high	北方妗系主形
舅母	妗妗	north	high	疊稱
舅母	妗妗儿	north	med	兒化
舅母	妗娘	southwest	med	西南
舅母	妗妈	north	med	北方
舅母	妗母	yue	med	粵
舅母	阿妗	yue-min	high	粵閩
舅母	妗婆仔	min	low	閩台
舅母	妗	colloquial	high	單字形
襟兄	连桥	southwest	med	西南官話
襟兄	两桥	southwest	med	同上
襟兄	老襟	north	med	北方
襟兄	一担挑	north	high	中原/山東
襟兄	老挑	north	high	同上
襟兄	挑担	north	high	同上
襟兄	担儿挑	north	med	同上,兒化
襟兄	连襟儿	north	med	兒化
襟兄	友婿	literary	high	古稱
襟兄	娅	literary	med	《爾雅》兩婿相謂
襟弟	连桥	southwest	med	西南官話
襟弟	两桥	southwest	med	同上
襟弟	老襟	north	med	北方
襟弟	一担挑	north	high	中原/山東
襟弟	老挑	north	high	同上
襟弟	挑担	north	high	同上
襟弟	担儿挑	north	med	同上,兒化
襟弟	连襟儿	north	med	兒化
襟弟	友婿	literary	high	古稱
襟弟	娅	literary	med	《爾雅》兩婿相謂
弟妹	小妗子	north	high	妻弟之妻,北方妗系
弟妹	小妗儿	north	high	同上,兒化
大舅子	大舅哥	north	high	北方
大舅子	大阿舅	wu-min	med	吳閩
大舅子	丈人兄	literary	med	書面
大舅子	舅哥	southwest	high	西南
大舅子	舅子	colloquial	high	通行
大舅子	妻舅	literary	high	書面
大舅子	舅老倌	xiang	low	湘語
婶母	叔母	literary	high	書面
婶母	叔妈	southwest	med	西南
婶母	阿婶	yue-min	high	粵閩
婶母	叔娘	southwest-xiang	med	西南湘
婶母	依婶	min	high	閩東依系
婶母	婶儿	north	med	兒化
婶母	小婶	colloquial	high	通行
婶母	小娘	wu	med	吳語
婶母	小妈	southwest	med	西南
婶母	小妈妈	southwest	med	同上
婶母	仲母	literary	high	《爾雅》系
婶母	季母	literary	high	《爾雅》系
婶母	叔妇	literary	med	書面
婶母	婶	colloquial	high	單字形
婶母	婶妈	north	med	北方
婶母	婶娘	southwest	med	西南
婶母	婶子	north	high	北方
婶母	家婶	yue	med	粵
小舅子	小舅弟	colloquial	med	通行
小舅子	小阿舅	wu-min	med	吳閩
小舅子	丈人弟	literary	med	書面
小舅子	舅弟	colloquial	high	通行
小姨子	小姨妹	colloquial	high	通行
小姨子	姨妹	north	med	北方
小姨子	姨妹子	north	med	同上
小姨子	姨子	colloquial	high	通行
小姨子	妻姨	literary	med	書面
大姨子	大姨姐	north	high	北方
大姨子	大姨儿	north	med	兒化
大姨子	姨姐	colloquial	high	通行
岳外祖父	外祖公	south	med	南系公婆系統
岳外祖父	姥丈人	north	med	北方姥系
岳外祖母	外祖婆	south	med	南系公婆系統
岳外祖母	姥丈母	north	med	北方姥系
岳祖父	祖公公	south	med	南系
岳祖父	祖岳父	literary	med	書面
岳祖父	太岳父	literary	med	書面
岳祖母	祖婆婆	south	med	南系
岳祖母	祖岳母	literary	med	書面
岳祖母	太岳母	literary	med	書面
岳祖母	祖丈母	north	med	北方
岳祖母	祖丈母娘	north	med	同上
伯母	伯妈	southwest	med	西南
伯母	伯娘	yue-southwest	high	粵及西南
伯母	依姆	min	high	閩東依系
伯母	世母	literary	high	《爾雅》系
伯母	大娘	north	high	北方
伯母	伯妇	literary	med	書面
伯母	大嬷	min	med	閩南
伯母	大妈	north	high	北方
伯母	大妈妈	southwest	med	西南
伯母	大姆妈	wu	high	吳語
伯母	姆	min	med	閩南單字形
姑父	姑夫	colloquial	high	通行
姑父	恩伯	min	med	閩南恩系
姑父	恩叔	min	med	閩南恩系
姑父	恩爸	min	med	閩南恩系
姑父	姑爸	southwest	low	西南
姑父	姑爹	xiang-southwest	high	湘及西南
姑父	姑婿	literary	med	書面
姑父	姑郎	literary	med	書面
曾祖父	曾祖	literary	high	書面簡稱
曾祖父	太爷	north	high	北方
曾祖父	老太爷	north	high	北方
曾祖父	太翁	literary	med	書面
曾祖父	曾爷爷	north	med	北方
曾祖父	公太	yue	med	粵
曾祖父	佬嗲	xiang	med	湘語嗲系
曾祖父	祖爷	north	low	北方
姨父	姨夫	colloquial	high	通行
姨父	姨爸	southwest	low	西南
姨父	姨爹	xiang-southwest	high	湘及西南
姨父	姨婿	literary	med	書面
姨父	姨郎	literary	med	書面
曾祖母	太奶	north	high	北方
曾祖母	老太奶	north	high	北方
曾祖母	太嬷	min	med	閩南
曾祖母	太姆	min	med	閩南
曾祖母	曾奶奶	north	med	北方
曾祖母	婆太	yue	med	粵
曾祖母	老娭毑	xiang	high	湘語娭毑系
嫂嫂	嫂	colloquial	high	單字形
嫂嫂	阿嫂	yue-min	high	粵閩
嫂嫂	家嫂	yue	med	粵
嫂嫂	兄妇	literary	high	書面
嫂嫂	兄妻	literary	med	書面
高祖父	曾曾祖父	literary	high	書面
高祖父	祖太公	yue	med	粵
高祖父	祖太爷	north	med	北方
高祖母	曾曾祖母	literary	high	書面
高祖母	祖太婆	yue	med	粵
高祖母	祖太奶	north	med	北方
外曾外祖母	曾毑母	xiang	med	湘語毑系
外曾外祖母	外太姥姥	north	med	北方姥系
外曾外祖父	外曾外祖	literary	med	書面簡稱
外曾外祖父	曾毑父	xiang	med	湘語毑系
外曾外祖父	外太姥爷	north	med	北方姥系
伯祖父	伯祖	literary	high	書面簡稱
伯祖父	伯翁	literary	med	書面
伯祖父	大嗲	xiang	high	湘語嗲系
伯祖父	大公	yue	med	粵
伯祖父	大阿爷	wu	med	吳語
外曾祖母	外太奶	north	med	北方
外曾祖父	外曾祖	literary	high	書面簡稱
外曾祖父	外太爷	north	med	北方
叔祖父	叔祖	literary	high	書面簡稱
叔祖父	叔翁	literary	med	書面
叔祖父	幺爷	southwest	high	西南幺系
叔祖父	细嗲	xiang	high	湘語嗲系
姐夫	姐丈	colloquial	high	通行
姐夫	姐婿	literary	med	書面
姐夫	姊兄	literary	low	書面
姐夫	姐夫哥	southwest	high	西南
曾外祖母	太外婆	south	high	南系
曾外祖母	太外奶	north	med	北方
曾外祖母	太外奶奶	north	med	北方
曾外祖父	曾外祖	literary	high	書面簡稱
曾外祖父	太外公	south	high	南系
曾外祖父	太外爷	north	med	北方
曾外祖父	太外爷爷	north	med	北方
姑祖母	祖姑	literary	high	書面
姑祖母	姑奶	north	high	北方
姑祖母	恩婆	min	med	閩南恩系
姑祖母	姑娭毑	xiang	med	湘語娭毑系
伯岳父	伯公公	south	med	南系
叔岳父	叔公公	south	med	南系
内侄	舅侄	colloquial	med	通行
舅嫂	大婶子	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大婶儿	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大叔兄妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	伯兄妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	伯嫂	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	伯妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	伯姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	姒妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	姒姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大伯嫂	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	姆姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大伯妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大伯娘	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	姐妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	阿姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大舅兄嫂	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大舅姐	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	大舅媳妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	丈人嫂	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	舅妇	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	舅姆	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	妗仔	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	妗子	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅嫂	妗儿	exclude	high	妯娌側(女方視角)詞形,不屬 舅嫂 這個鍵
舅母	大舅妈	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	大妗	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	娘妗	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	舅媳妇	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	舅姥	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	妗爹	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	妗爸	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	妗门	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	妗儿妈	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
